name,website,location,country,description,category,source,collected_date
Kinderheldin,https://www.kinderheldin.de/,Berlin,Germany,Digital midwifery consultation platform,Women's Health Tech,Curated Database,2025-07-07
Lanserhof Digital Health,https://digital.lanserhof.com/,Munich,Germany,Digital health coaching and monitoring,Wellness Tech,Curated Database,2025-07-07
List of 165 funded startups in Berlin (2024),https://handpickedberlin.com/list-of-funded-startups-in-berlin-2024/,,Germany,"A list of all tracked and funded startups in Berlin in 2024. Includes career pages links, a description and the funding round size.",Digital Health,Web Search,2025-07-07
List of top Berlin Health Care Companies,https://www.crunchbase.com/hub/berlin-health-care-companies,,Germany,"Organizations in this hub have their headquarters located in ; notable events and people located in Berlin are also included. This list of companies and startups in Berlin in the health care space provides data on their funding history, investment ac...",Health Data Analytics,Web Search,2025-07-07
List of top Berlin Startups with Female Founders,https://www.crunchbase.com/hub/berlin-startups-female-founders/hub_overview_default/timeline,,Germany,"EU-Startups — Let's talk about sex: 10 European startups revolutionising sexual health and pleasure News•Jun 25, 2024 Joinup — Post Event Report | GovTech Connect Webinar ""Investing in Europe's GovTech Future"" News•Jun 20, 2024 Business Wire — Goose ...",InsurTech Health,Web Search,2025-07-07
List of top City of Berlin Health Care Companies,https://www.crunchbase.com/hub/city-of-berlin-health-care-companies,,Germany,"This list of companies and startups in Berlin, Berlin in the health care space provides data on their funding history, investment activities, and acquisition trends. Insights about top trending companies, startups, investments and M&A activities, not...",Health Data Analytics,Web Search,2025-07-07
List of top Germany Health Care Companies,https://www.crunchbase.com/hub/germany-health-care-companies,,Germany,"This list of companies and startups in Germany in the health care space provides data on their funding history, investment activities, and acquisition trends. Insights about top trending companies, startups, investments and M&A activities, notable in...",Health Data Analytics,Web Search,2025-07-07
Medlanes,https://www.medlanes.com/,Berlin,Germany,On-demand home medical visits,Home Care Tech,Curated Database,2025-07-07
Nelly,https://www.nelly.com/,Berlin,Germany,Digital health insurance assistant,InsurTech Health,Curated Database,2025-07-07
Oscar,https://www.oscar-ultrasonic.de/,Berlin,Germany,Portable ultrasound technology,Medical Device,Curated Database,2025-07-07
Perfood,https://www.perfood.de/,Lübeck,Germany,Personalized nutrition based on glucose monitoring,Nutrition Tech,Curated Database,2025-07-07
Quin,https://www.quin.md/,Berlin,Germany,AI-powered insulin dosing for diabetes,Diabetes Tech,Curated Database,2025-07-07
Retina AI,https://retina.ai/,Berlin,Germany,AI for ophthalmology diagnostics,Digital Diagnostics,Curated Database,2025-07-07
Startupbootcamp Digital Health Berlin,https://www.crunchbase.com/organization/startupbootcamp-digital-health-berlin,,Germany,Startupbootcamp Digital Health Berlin is accelerator of startups supporting and scaling companies innovating and disrupting the health industry.,Digital Health,Web Search,2025-07-07
Technologie,https://www.businessinsider.de/gruenderszene/technologie/,,Germany,Found on Gründerszene,Digital Health,Gründerszene,2025-07-07
Temedica,https://www.temedica.com/,Munich,Germany,Real-world evidence platform for pharma,Health Data Analytics,Curated Database,2025-07-07
Top 37 medical and healthcare startups in Berlin,https://www.medicalstartups.org/location/Berlin/,,Germany,DR SMILE Funding: €77M DR SMILE is a Berlin-based Health-Tech Startup in the area of digital dentistry.,Digital Health,Web Search,2025-07-07
Vara,https://www.vara.ai/,Berlin,Germany,AI for breast cancer screening,Digital Diagnostics,Curated Database,2025-07-07
Vilua,https://www.vilua.com/,Berlin,Germany,Digital therapy for stress and anxiety,Mental Health Tech,Curated Database,2025-07-07
Wefra,https://www.wefra.de/,Cologne,Germany,Digital wound documentation,Clinical Documentation,Curated Database,2025-07-07
XO Life,https://www.xo-life.com/,Berlin,Germany,Organ transplant optimization platform,Medical Device,Curated Database,2025-07-07
Yesbo,https://www.yesbo.de/,Berlin,Germany,Digital health companion for seniors,Elderly Care Tech,Curated Database,2025-07-07
Zava,https://www.zavamed.com/,Berlin,Germany,Online doctor consultations and prescriptions,Telemedicine/Telehealth,Curated Database,2025-07-07
Turbine,https://www.turbine.ai/,Budapest,Hungary,AI-powered drug discovery simulations,Drug Discovery,Curated Database,2025-07-07
Carbfix,https://www.carbfix.com/,Reykjavik,Iceland,Carbon capture for healthcare facilities,Healthcare Sustainability,Curated Database,2025-07-07
Jinga Life,https://www.jingalife.com/,Dublin,Ireland,Personalized wellness programs,Corporate Wellness,Curated Database,2025-07-07
Aidence,https://www.aidence.com/,Amsterdam,Netherlands,AI for lung cancer detection,Digital Diagnostics,Curated Database,2025-07-07
Luscii,https://www.luscii.com/,Amsterdam,Netherlands,Remote patient monitoring platform,Remote Patient Monitoring,Curated Database,2025-07-07
Siilo,https://www.siilo.com/,Amsterdam,Netherlands,Medical messaging and collaboration platform,Healthcare Communication,Curated Database,2025-07-07
WellNewMe,https://www.wellnewme.com/,Amsterdam,Netherlands,Workplace mental health platform,Corporate Wellness,Curated Database,2025-07-07
Teleretail,https://teleretail.com/,Oslo,Norway,Remote patient monitoring devices,Remote Patient Monitoring,Curated Database,2025-07-07
Glooko,https://www.glooko.com/,Gothenburg,Sweden,Unified diabetes management platform,Diabetes Tech,Curated Database,2025-07-07
Dacadoo,https://www.dacadoo.com/,Zurich,Switzerland,Digital health engagement platform,Wellness Tech,Curated Database,2025-07-07
Implantica,https://www.implantica.com/,Zug,Switzerland,Smart medical implants,Medical Device,Curated Database,2025-07-07
MedUniverse,https://www.meduniverse.com/,Geneva,Switzerland,Medical device marketplace,Healthcare Marketplaces,Curated Database,2025-07-07
BioBeats,https://www.biobeats.com/,London,United Kingdom,Digital biomarkers and mental health monitoring,Mental Health Tech,Curated Database,2025-07-07
Endomag,https://www.endomag.com/,Cambridge,United Kingdom,Surgical guidance technology,Surgical Tech,Curated Database,2025-07-07
Feebris,https://www.feebris.com/,London,United Kingdom,AI-powered health assessment platform,AI/ML in Healthcare,Curated Database,2025-07-07
Hadean,https://www.hadean.com/,London,United Kingdom,Cloud computing for healthcare simulations,Healthcare Infrastructure,Curated Database,2025-07-07
Kheiron Medical,https://www.kheironmed.com/,London,United Kingdom,AI for breast cancer screening,Digital Diagnostics,Curated Database,2025-07-07
Proximie,https://www.proximie.com/,London,United Kingdom,Augmented reality for surgery,Surgical Tech,Curated Database,2025-07-07
Senseye,https://www.senseye.io/,Southampton,United Kingdom,Predictive maintenance for medical equipment,Healthcare Operations,Curated Database,2025-07-07
Ultromics,https://www.ultromics.com/,Oxford,United Kingdom,AI for echocardiography analysis,Digital Diagnostics,Curated Database,2025-07-07
Vinehealth,https://www.vinehealth.ai/,London,United Kingdom,Cancer care management app,Chronic Care Management,Curated Database,2025-07-07
Xim,https://www.xim.ai/,London,United Kingdom,AI medical coding automation,Healthcare Operations,Curated Database,2025-07-07
Your.MD,https://www.your.md/,London,United Kingdom,AI health assistant and symptom checker,AI/ML in Healthcare,Curated Database,2025-07-07
Qvin,https://www.qvin.com/,San Francisco,United States,Menstrual blood diagnostics,Women's Health Tech,Curated Database,2025-07-07
Robin Healthcare,https://www.robinhealthcare.com/,Berkeley,United States,AI medical scribe,Clinical Documentation,Curated Database,2025-07-07
Zeto,https://www.zeto-inc.com/,Santa Clara,United States,Wireless EEG headset,Medical Device,Curated Database,2025-07-07
